Activity Display Message,Short or Long,Activity Type
Lets take flight and make some paper airplanes! Grab 1 sheet of paper and click on the link below for instructions. Let's see how far your airplane can go! https://tinyurl.com/PaperAirplane321 ,Short,Arts and Crafts
Time to draw! Grab 1 sheet of paper and draw your favorite animal.,Short,Arts and Crafts
Lets get colorful! Grab 1 sheet of paper and your crayons and draw a rainbow!,Short,Arts and Crafts
"Brrr it's cold in here! Grab 1 sheet of paper and safety scissors, and click on the link to see how to make a snowflake! https://tinyurl.com/snowflakeTutorial0 ",Short,Arts and Crafts
Gobble Gobble it's hand turkey time! Grab 1 sheet of paper and follow the link below for instructions! https://tinyurl.com/gobblegobble0,Short,Arts and Crafts
It's time to get up and move! Follow the link for a 5-minute workout with Hip-po: https://tinyurl.com/Hip-poWorkout,Short,Physical
Dance Party! Click on the links below and follow along to the dance moves on the screen! 1) https://tinyurl.com/gummyBearDance 2) https://tinyurl.com/MinionDance ,Short,Physical
It's time to SALSA! Follow the link to learn how to Salsa Dance: https://tinyurl.com/SalsaDanceForKids ,Short,Physical
TAKE IT BACK NOW Y'ALL! Lets cha cha slide! https://tinyurl.com/chachaslide0 ,Short,Physical
"THE FLOOR IS LAVA! Make your way around the room you are in, but make sure to not touch the floor!",Short,Physical
"Lets take some deep breaths together, follow this link and follow along to the video to learn how to meditate: https://tinyurl.com/MeditateKids ",Short,Mind and Body
Time to put on your thinking cap! Follow the link for some brain teasers... can you figure them out? https://tinyurl.com/brainteasersWordPuzzles ,Short,Mind and Body
Can you get the 2048 tile? Click below to play 2048! https://play2048.co/ ,Short,Mind and Body
It's time for some journaling! Grab 1 sheet of paper and tell me all about your favorite hobbies! ,Short,Mind and Body
"It's time to breath in... and breath out. Grab 1 sheet of paper, some markers, and follow this link to learn how to draw your breath: https://tinyurl.com/drawYourBreath ",Short,Mind and Body
Let's take a moment to relax and learn how to do Yoga! Follow the link below: https://tinyurl.com/animalYoga0 ,Short,Relaxation
It's time to grab your favorite slime or putty and see how many different shapes you can create! ,Short,Relaxation
"Snack Break! If your feeling a little rumbley in your tumbley, ask a parent for permission to go get a quick study snack!",Short,Relaxation
"Okay everyone, deep breaths now... follow think to learn a new way to relax: https://www.youtube.com/watch?v=FZoFPT3FXDI ",Short,Relaxation
Movie time! Follow the link to watch a short movies on dinosaurs! https://tinyurl.com/dinoMovies0 ,Short,Relaxation
RAVE TIME!! Click on the following links to listen to some ~GROOVY~ music and dance along: 1) https://tinyurl.com/encantoSP1 2) https://tinyurl.com/encantoWECID1 ,Short,Imagination
"Ahh a monster!! Quick, grab 1 sheet of paper and your crayons and draw yourself as a superhero! What would your powers be?",Short,Imagination
"Let's build a fort! Using the materials around you, build a small fort! (but don't forget to put everything back where you found it!) ",Short,Imagination
"Let's write a story! Grab 1 sheet of paper and a pencil, and using your imagination tell me about your life if you were a... PIRATE!",Short,Imagination
"What do you want to be when you grow up? For the next 10 minutes, pretend you are that! How would you act? ",Short,Imagination
Let's flutter away and decorate our study space! Grab some sheets of paper and string Follow this link to make a group of butterflies  https://www.redtedart.com/easy-paper-butterfly/,Long,Arts and Crafts
"Think of the perfect day, design a story board illustrating how it would happen! https://www.wikihow.com/Draw-Storyboards",Long,Arts and Crafts
"Rap Battle! Make a rap with the following words: Rat, Fun, Distance, Use this link and go crazy!  https://rapscript.net/words/",Long,Arts and Crafts
"Scavenger Hunt! Go outside or around your house and take a picture of: Something Shiny, Something Red, An interesting view of the Sky, The biggest Tree, Something beautiful, The funniest thing",Long,Physical
"Nature Scavenger Hunt! Go find: something fuzzy, something noisy, a chewed leaf, a stick, something you think is a treasure, two pieces of man-made litter, two different types of flowers or leaves",Long,Physical
"Yoga Time! Let's stretch, go outside or do it inside and see if you're up for the challenge! How bendy can you get? https://www.youtube.com/watch?v=X655B4ISakg",Long,Physical
Are you the next MasterChef? Ask your parent to help you cook up a fun snack! Recipe ideas: ,Long,Mind and Body
RIDDLE ME THIS! Time to put your mind to the test... Are you a Genius? https://www.youtube.com/watch?v=6WZ5DCd3_4o,Long,Mind and Body
DANCE BATTLE! Can you do them all? https://www.youtube.com/watch?v=tz2OnrmzzHE https://www.youtube.com/watch?v=Hf9MtIOZEzU&t=5s https://www.youtube.com/watch?v=aXgy3kE1NIg,Long,Mind and Body
Close your eyes and listen to this video for a guided meditation. Can you be the next YODA?  https://www.youtube.com/watch?v=DWOHcGF1Tmc,Long,Relaxation
Let's do a DRINKING CHALLENGE! How long will it take you to drink 3 glasses of water? After the water lie down and relax to this link: https://www.youtube.com/watch?v=mV9BBR1RoGg,Long,Relaxation
Take a power nap you deserve it! Or go watch an episode of your favorite TV show ,Long,Relaxation
Airplane Competition! See which one could fly further... Let's make multiple types and test it out: https://allfortheboys.com/move-over-paper-airplanes/  https://www.youtube.com/watch?v=r9ReNKZiZNc,Long,Imagination 
Let's make a Vision Board! Draw pictures of your biggest dreams and put it together in a collage! How to make a vision board:  https://www.youtube.com/watch?v=9kDS24W8VRE  ,Long,Imagination 
Picture your dream and write out the dream as if it's already yours. Create a story of you living a day out in that dream or write a day in your life living your dream life!,Long,Imagination 
